model,n_seeds,auroc_mean,auroc_ci95,auprc_mean,auprc_ci95
GRU-D,3,0.8290387994814762,0.03399988060118749,0.49865063240171686,0.11185464077976381
LastObsMLP,3,0.8174928400521152,0.06261473466863851,0.4854683066612402,0.13696544481895
GRU,3,0.8044881464269373,0.03189995116278723,0.4771075096978121,0.059458224221090136
ODE-RNN,3,0.7087544666657837,0.07950184772806372,0.333578917513607,0.1173457014462185
